movie,sentence,score
더 퍼스트 슬램덩크,이정도로 3d를 자연스럽게 높은 퀄리티로 만들었으며 모르는 사람이 봐도 이해가 되는 스토리에 이영화는 봐야한다,10
더 퍼스트 슬램덩크,굳,10
더 퍼스트 슬램덩크,아 진짜 꼭 영화관에서 봐야함 안봤으면 평생 후회할뻔 너무 재밌음 하...너무 재밌어서 눈물남,10
더 퍼스트 슬램덩크,청춘으로 회귀하는 그 시절 그 감성!!,10
더 퍼스트 슬램덩크,확실히  바빌론보다 낫다!  애니메이션이 이런 감성자극에 ㅠㅜ  몰입감은 처음인듯! 진작 볼걸 ㅠㅜ,10
더 퍼스트 슬램덩크,그냥 다시 볼 수 있다는 점에서 감동..,10
더 퍼스트 슬램덩크,보는사람마저 숨죽이게 되는 정적... 연출 미쳤음.,9
더 퍼스트 슬램덩크,"영화가 시작돼면서 경기가 시작돼고, 2시간의 길고 긴 경기후 경기가 끝나면서 영화가 끝난다.",1
더 퍼스트 슬램덩크,정말 오랜만에 가슴 울리는 영화였습니다. 오래된 만화책도 다시 꺼내게 만드네요.,10
더 퍼스트 슬램덩크,감사합니다 다케히코 센세..,10
더 퍼스트 슬램덩크,왼손은 거들뿐 빼고 모든게 최고,10
더 퍼스트 슬램덩크,최고의 스포츠애니메이션 극장영화,10
더 퍼스트 슬램덩크,진짜 리뷰 왜케 좋아서 나 낚으신거임?중2병 들어간 애니임.추억으로 보긴했고 감동조장 장면 인정하나. 극장서 보란건 2시간 고통버티기임 ,6
더 퍼스트 슬램덩크,재밌게 잘 봣어요 ㅎㅎ,9
더 퍼스트 슬램덩크,슬램덩크는 남자의 영화였다...,9
더 퍼스트 슬램덩크,오늘 6회차 갑니다 장기상영해주세요 제발,10
더 퍼스트 슬램덩크,진짜 손에 땀을 쥐게 하는 경기였어요,10
더 퍼스트 슬램덩크,같은 시대에 살아서 행복하다,10
더 퍼스트 슬램덩크,태어나지 않은년도로 가고싶습니다.,10
더 퍼스트 슬램덩크,자막 봤으니 더빙 봐야지~,10
더 퍼스트 슬램덩크,안보면 후회합니다...역대급영화...ㄷㄷ,10
더 퍼스트 슬램덩크,second 주세요,10
더 퍼스트 슬램덩크,송태섭 회상하는 장면은 매우 루즈하다,6
더 퍼스트 슬램덩크,지렸다 더빙판으로도 보고싶어요,10
더 퍼스트 슬램덩크,1990년도의 추억이 생각남.난 2003년생임. ,10
더 퍼스트 슬램덩크,중딩시절의 내겐 오빠였던 그들. 세월이 지나 그들의 엄마뻘이 되어서 뜨겁고 빛나는 시절의 선물을 받은 기분이였다. 붉은 손목밴드를 건네 받은 그의 엄마처럼. 초반 데생으로 한명씩 그려지기 시작할때 마음이 웅장해지면서 오열할뻔ㅜㅜ,10
더 퍼스트 슬램덩크,전 캐릭터이름만 알고갔는데도 감동이.. 남편은 옆에서 내내울고ㅠ,10
더 퍼스트 슬램덩크,"슬램덩크를 사랑한 이들에게 주는 최고의 선물,뻔한 결과에도 이렇게 감동을 주는게 또 있을까?마지막 몇분은 숨도 제대로 못쉬고 몰입했던 인생 최고의 만화이자 영화입니다",10
더 퍼스트 슬램덩크,만화책에서 느낄 수 있던 감동과 영화에서 느낄 수 있는 생동감이 합해진 영화 아닐까 특히 만화책에서 다루지 않았던 과거 얘기를 다루면서 캐릭터에 대한 입체감이 더해짐!,9
더 퍼스트 슬램덩크,서태웅 너무 잘생겼어요!!!!,10
더 퍼스트 슬램덩크,진짜 우리 어린 시절을 생각하게 하는...울컥함~ 이노우에 작가님 좀 더 해주세요~ ㅎㅎ,10
더 퍼스트 슬램덩크,아쉬운부분도있었지만 산왕전을 애니로본다는것만으로도10점,10
더 퍼스트 슬램덩크,재밌습니다 하나도 모르고 가도 재밌었어요,10
더 퍼스트 슬램덩크,3회차 관람했다... 지금까지 수많은 애니 명작들이 있었는데 그중에서 시간이 흘러서도 이토록 많은 사랑을 받는 작품이 슬램덩크인 덴 분명 이유가 있다. 사랑 받을 수밖에 없는 이유들이 영화 속에 다 들어 있음 오프닝 스케치와 대사 없이 이어지는 마지막 1분 동안의 승부 연출은 영화적 백미의 극한을 선사하니 다들 극장에서 꼭 관람했으면 좋겠다~,10
더 퍼스트 슬램덩크,보는 것만으로도 감동!,10
더 퍼스트 슬램덩크,나 진짜 평점 눈팅만 하는데 이거는 참지 못한다 누가 점수를 낮게 주었길래 이게 만점을 못받는거야~!,10
더 퍼스트 슬램덩크,"최근 본 영화중 1등입니다. 스토리,연출,구성 모두 완벽하다.청춘들이여 열정하라~",10
더 퍼스트 슬램덩크,너무 재미있어요~~~,10
더 퍼스트 슬램덩크,오랜 추억의 달달함...,8
더 퍼스트 슬램덩크,영화 평점 처음남겨보는데... 진짜 인생 영화입니다.,10
더 퍼스트 슬램덩크,송태섭.. 많이 힘들었구나..,10
더 퍼스트 슬램덩크,"초등 아들과 3번 봤습니다더빙, 자막, 더빙 순으로 봤는데자막 볼 때 살짝 지루해서 두번으로 끝내야지 했는데 더빙 한번 더보니 더빙이 답이구나!!!! 느꼈습니다또 봐도 지루하지 않고 아는 내용인데도 심장이 두근두근 합니다 조만간 4차 관람 하러 갑니다!!",10
더 퍼스트 슬램덩크,이거 보려고 만화 다 보구 봤는데요농구에 대해서 잘 모르는 저한테도 너무 감동이었습니다,10
더 퍼스트 슬램덩크,어머. 이건 N차 관람해야 돼.영화를 보다가 만화 대사를 육성으로 읊을 뻔한게 몇번이었는지 모르겠다. ㅠㅠ ,10
더 퍼스트 슬램덩크,재밌었음 옛 추억을 떠올리는 느낌,10
더 퍼스트 슬램덩크,오랜추억을 되새기려 찾은 영화관 만화다운 영상은 좋았으나 먼가 뚝뚝 끊어지는 스토리 전개가 지루하고 억지 감성은 이제그만...,4
더 퍼스트 슬램덩크,미쳤다 그냥..꼭봐야함,10
더 퍼스트 슬램덩크,미쳤다 그냥..꼭봐야함,10
더 퍼스트 슬램덩크,추억이 생생하게 살아나는 감동,10
더 퍼스트 슬램덩크,정말 졸려서 미치는줄 알았네...신파를 한편 보는게 나은듯.돈 아까워. 시간 아깝고. 이게 뭐냐.정말 재미있냐???,2
더 퍼스트 슬램덩크,진짜 미친 명작 그리고 가슴이 벅차오르는 막판의 원작 오마주들98년생인데 슬램덩크 끝 세대라 행운이었다.,10
더 퍼스트 슬램덩크,아이들과 보는데 30년가까이된 향수와감동의 여운이 아직 느껴지네요,10
더 퍼스트 슬램덩크,최고네요 원작을 보지않았는데도 느껴지는 울림이 있습니다.,10
더 퍼스트 슬램덩크,진짜 만화속의 레전드경기를  영상으로 볼수있다는것만해도 놀라웠지만 추가로 뛰어난 연출력.. ost 어울림 미쳤고.. 슛폼까지 그대로 재현하다니 완벽한 싱크로의 3d까지.. 그저 놀라워서 나도모르게 몇번이나 우와했는데 나말고 옆 다른관객들도 우와를 외치고있었다..,10
더 퍼스트 슬램덩크,이 영화는  정말로 최고다,10
더 퍼스트 슬램덩크,영원한 대만 오빠,10
더 퍼스트 슬램덩크,하남자 같은 상남자 불꽃남자 정대만,10
더 퍼스트 슬램덩크,30년전의 감동을 넘어선듯하다경기종료 1분의 적막속에서 무한한 감동을 느낄  수 있었다,10
더 퍼스트 슬램덩크,뚫어 송태섭 ㅠㅠㅠㅠ,10
더 퍼스트 슬램덩크,재밌었어요 뭔 공백을 채우래 또,10
더 퍼스트 슬램덩크,"송태섭 뚫어 하면서 제로감 OST 나올 때, 심장이 터질듯한 기분이였습니다. 2차 관람 예정입니다.",10
더 퍼스트 슬램덩크,최고의 순간은 언제였나요?,10
더 퍼스트 슬램덩크,살아움직이는듯한 인물들의 투혼에 연신 눈꼬리에 눈물이 맺혀 와이프볼까 훔치느라 혼났다,10
더 퍼스트 슬램덩크,잠을 참느라 죽을뻔햇어여참고로 저는여자..남자친구가 보자해서봄..,10
더 퍼스트 슬램덩크,아무 생각없이 보다가 너무 재미있었다..다음작 완전 기대중,9
더 퍼스트 슬램덩크,슬램덩크 원작을 본 사람이라면 감동 받을 거임.,10
더 퍼스트 슬램덩크,슬램덩크를 알려준 제자들과함께 수십년이지난 지금 다시함께 슬램덩크를보다니...뚫어.송태섭..잊을수없다 ㅠ다함께부둥켜안고 하늘올려다보는 태섭의 그위에 준섭이가환하게 웃고있었을듯 ㅠ,10
더 퍼스트 슬램덩크,"벅찬 감동, 숨 멎을 듯한 정적... 최고다",10
더 퍼스트 슬램덩크,영화의 끝을 향해 달려가면서 쫄깃함이 절정에 달아 마지막 5분동안은 숨도 쉬지 못했다는...,10
더 퍼스트 슬램덩크,다 아는 내용인데 이렇게 감동적일수가 있나...,10
더 퍼스트 슬램덩크,끝나고 나오는데 가슴 오지게 뛰더라 ,10
더 퍼스트 슬램덩크,원작을 모른 상태로 봐도 훌륭했다. 원작을 알고 보면 얼마나 뽕차오를까.,10
더 퍼스트 슬램덩크,오프닝 스케치 장면에서 이미 게임 오버~!!,10
더 퍼스트 슬램덩크,세대를 뛰어넘는 시대의 낭만,8
더 퍼스트 슬램덩크,어째서 봐도봐도 잼있는거지…..,10
더 퍼스트 슬램덩크,재밌어요 첫 등잔씬부터 감동 ㅠㅠ,10
더 퍼스트 슬램덩크,역시 슬램덩크!! 너무 좋았다,10
더 퍼스트 슬램덩크,울컥하게 만드는 추억의 만화,10
